speaker_id,dataset,start_file,end_file,RMS_mean,F0_mean,F0_var,Centroid_mean,Rolloff_mean,ZCR_mean,A_emotion_mean,slope,F_adj,Window_Label,window_label_str
1080,CREMA-D,1080_DFA_ANG_XX.wav,1080_IEO_DIS_HI.wav,0.06777978325262665,113.9329817785012,420.199591220069,1754.3895066360928,3549.722313427843,0.1098911568964922,0.7481876,0.0024627393645417646,0.32582309045445024,2,High Fatigue / Burnout
1080,CREMA-D,1080_DFA_SAD_XX.wav,1080_IEO_FEA_MD.wav,0.07595243100076914,134.00722807788284,1111.6668484072036,1670.9235274750372,3449.016253324796,0.1039339397019711,0.78855956,0.0026985997743785043,0.281485662230487,0,Non-Fatigued
1080,CREMA-D,1080_IEO_DIS_LO.wav,1080_IEO_SAD_HI.wav,0.05578271234408021,153.75847375821184,1052.1049206171865,1594.2106233829618,3299.4047092418396,0.0977852789448739,0.7464627,-0.01588423078586891,0.33087381996306736,2,High Fatigue / Burnout
1080,CREMA-D,1080_IEO_HAP_HI.wav,1080_IOM_FEA_XX.wav,0.04477281915023923,149.95027781779262,253.43418398317243,1515.565846952971,3182.9516499113024,0.0867573849535747,0.73077404,-0.0027518852282145795,0.34387585414297767,2,High Fatigue / Burnout
1080,CREMA-D,1080_IEO_SAD_LO.wav,1080_ITH_DIS_XX.wav,0.04072946198284626,132.63253147860962,325.1579640267108,1469.245360788929,3133.5062311004563,0.07779178212593238,0.7267134,-0.015491816454428105,0.3589639714055528,2,High Fatigue / Burnout
1080,CREMA-D,1080_IOM_HAP_XX.wav,1080_ITS_ANG_XX.wav,0.03816959802061319,133.1018601046182,297.99600610240566,1537.8510933817654,3179.361493127225,0.09033094817244672,0.6759074,-0.007036361515966774,0.40631908822558205,2,High Fatigue / Burnout
1080,CREMA-D,1080_ITH_FEA_XX.wav,1080_ITS_SAD_XX.wav,0.025995183363556863,127.88463392292196,714.7559522313404,1725.9877264375743,3598.4963119640865,0.11532945322957042,0.6334974,0.0024035260319293403,0.4206420688721931,2,High Fatigue / Burnout
1080,CREMA-D,1080_ITS_DIS_XX.wav,1080_IWL_NEU_XX.wav,0.043796921893954274,142.53160782277354,829.0171814052853,1586.3711122805266,3126.851357110498,0.10683525026191594,0.6352008,-0.0010331759366103714,0.4147669446130511,2,High Fatigue / Burnout
1080,CREMA-D,1080_IWL_ANG_XX.wav,1080_IWW_HAP_XX.wav,0.05143178654834628,136.65239208452255,378.8213319039706,1492.6901269730397,2863.3511080385924,0.09746750921909567,0.7286538,-0.003929650898131848,0.35043387016198857,2,High Fatigue / Burnout
1080,CREMA-D,1080_IWL_SAD_XX.wav,1080_MTI_FEA_XX.wav,0.03633566154167056,106.58451901393373,240.25307274479275,1600.8492199210984,3216.9257952065755,0.10267958225000214,0.76973176,-0.0015784898453437943,0.323867960252375,1,Mild Fatigue
