file,speaker_id,dataset,RMS_mean,F0_mean,F0_var,Centroid_mean,Rolloff_mean,ZCR_mean,P_pos,P_neg,P_neu,A_acoustic,A_emotion,A_final,F_score,Pseudo_Label,pseudo_label_str
1080_DFA_NEU_XX.wav,1080,CREMA-D,0.021778985857963562,108.18480057898596,108.60400585394719,1692.2988382750796,3546.7013888888887,0.09853515625,0.30268696,0.5991999,0.09811312,0.22307213772358025,0.4012348,0.3299697503607334,0.6487811539955335,2,High Fatigue / Burnout
1079_TIE_FEA_XX.wav,1079,CREMA-D,0.06167877838015556,249.38033855962416,1081.133854948346,1871.5634384987989,3682.1056547619046,0.11676897321428571,0.9993222,6.143295e-09,0.0006778574,0.40860175287937484,0.7997289,0.6432780293473218,0.24970538129986336,0,Non-Fatigued
1080_DFA_DIS_XX.wav,1080,CREMA-D,0.009912505745887756,0.0,0.0,1751.5327769047149,4024.2259174311926,0.09722172448394495,0.99097776,0.005958976,0.0030631851,0.1248634438771066,0.79519933,0.5270650021655582,0.33284219137461174,0,Non-Fatigued
1079_WSI_ANG_XX.wav,1079,CREMA-D,0.08146143704652786,238.19354973633457,245.62416925537852,1910.6199063436773,3433.9767156862745,0.15785845588235295,0.98394483,1.782116e-07,0.016054925,0.41248465669832324,0.7935779,0.6411406202820209,0.2512016192660661,0,Non-Fatigued
1080_DFA_ANG_XX.wav,1080,CREMA-D,0.13261933624744415,200.08947432275633,521.3880476200552,2136.256368187512,3931.8953804347825,0.14372452445652173,0.99509287,8.867582e-06,0.0048982003,0.43379173150294015,0.7980354,0.6523379404172619,0.24336610198264783,0,Non-Fatigued
1079_WSI_SAD_XX.wav,1079,CREMA-D,0.011822812259197235,242.25392179101829,217.93280601597564,1608.074438970389,3552.899096385542,0.09617964043674698,0.99998224,9.776074e-06,7.989765e-06,0.3266614399400977,0.799991,0.6106592008291732,0.27254149224190505,0,Non-Fatigued
1079_WSI_NEU_XX.wav,1079,CREMA-D,0.01440247893333435,219.45927346714709,273.8938537873744,1694.744040999813,3513.310185185185,0.11337770061728394,0.99965036,4.4773256e-07,0.00034913255,0.3193780572143717,0.79986006,0.6076672888170689,0.2746330321478284,0,Non-Fatigued
1079_TIE_ANG_XX.wav,1079,CREMA-D,0.11282916367053986,236.0069702739972,741.2260281124217,2323.1623723892103,4060.776654411765,0.18199965533088236,0.99983954,7.354253e-08,0.00016032199,0.4727274348162872,0.79993576,0.6690524585971539,0.23166330104475277,0,Non-Fatigued
1080_DFA_SAD_XX.wav,1080,CREMA-D,0.00872592069208622,0.0,0.0,1483.0261383318411,3668.0424528301887,0.06991634728773585,0.9999821,1.1596941e-06,1.6711727e-05,0.10340653053974155,0.7999926,0.5213581907433472,0.3350496143878978,0,Non-Fatigued
1079_WSI_HAP_XX.wav,1079,CREMA-D,0.09443512558937073,253.69732437456506,93.17767995177391,1930.4565769079659,3455.9948979591836,0.16423190369897958,0.9560171,1.5941412e-05,0.043967035,0.4362119182254406,0.78240365,0.6439269858322753,0.24925589234113724,0,Non-Fatigued
